external_code;name;category;price;image;bit_active;bit_new
9717840;Acuarela x16;Libreria;425.17;Libreria9717840Acuarela x16.png;1;1
9717736;Adhegoma x30ml;Libreria;98.5;Libreria9717736Adhegoma x30ml.png;1;1
9717838;Aritos Argollas x12;Moda;1365.6;Moda9717838Aritos Argollas x12.png;1;1
9717837;Blister Doctora 2830;Jugueteria;562.5;Jugueteria9717837Blister Doctora 2830.png;1;1
C05016;Bombillas x12 Colores;Bazar;776.25;BazarC05016Bombillas x12.png;1;1
C05014;Botella Deportiva;Bazar;153.9;BazarC05014Botella Deportiva.png;1;1
9717841;Brujula Metal;Bazar;414.41;Bazar9717841Brujula Metal.png;1;1
C02018;Camioncitos Duravit Art 681;Jugueteria;667.9;JugueteriaC02018Camioncitos Duravit Art 681.png;1;1
9717839;Chuchillos c/ funda plastica;Bazar;270;Bazar9717839Chuchillos c funda plastica.png;1;1
C03047;Espuma afeitar gillette 56 gr;Belleza y Cuidado Personal;575.2;ModaC03047Espuma afeitar gillete 56 gr.png;1;1
717428;Estufa Halogena W122;Pequños Electrodomesticos;5389.2;Bazar717428Estufa Halogena.jpeg;1;1
9717656;Fibron Negrol  LC 200;Libreria;93.9;Libreria9717656Fibron Negrol LC 200.png;1;1
C02030;Juego de Te Duravit Art 500;Jugueteria;1601;JugueteriacC02030Juego de Te Duravit Art 500.png;1;1
9717842;Linterna 9 Leds 890317;Iluminacion;450;Iluminacion9717842Linterna 9 Leds 890317.png;1;1
C05047;Mamadera;Bazar;199.9;BazarC05047Mamadera.png;1;1
C10045;Manito Porta celular;Accesorios Celular;263.5;MostradorC10045Manito Porta celular.png;1;1
9717662;Naipes Fifa World Cup;Jugueteria;280;Jugueteria9717662Naipes Fifa World Cup.png;1;1
9717369;Pinceles x6 2252L;Libreria;136.75;Libreria9717369Pinceles x6 2252L.png;1;1
C05037;Plancha  pesada Winco w30p;Pequños Electrodomesticos;6144;BazarC05037Plancha Winco w30p.png;1;1
C06005;Radio Winco 2005;Bazar;6685.2;AudioC06005Radio Winco 2005.jpg;1;1
C05049;Termo Matrisur Irrompible;Bazar;899.9;BazarC05049Termo Matrisur.png;1;1
C11004;Tijerín Corta Hilos E2078;Merceria;103.2;MerceriaC11004Tijerín Corta Hilos E2078.png;1;1
C13002;Adaptador múltiple;Electricidad;189.2;ElectricidadC13002Adaptador múltiple.png;1;0
9717834;Juego de Agua Dinosaurio;Jugueteria;337.41;Jugueteria9717834Juego de Agua Dinosaurio.png;1;0
9717833;Juego de Agua Unicornio;Jugueteria;337.41;Jugueteria9717833Juego de Agua Unicornio.png;1;0
70;Abanico Flores;Moda;360;Moda000070Abanico Flores.png;1;0
9717754;Abrochadora 368-19-2;Libreria;501.28;Libreria9717754Abrochadora 368-19-2.jpeg;1;0
163;Abrochadora HL3065;Libreria;450;#N/A;0;0
C13001;Adaptador de Lamparas;Electricidad;224.89;ElectricidadC13001Adaptador de Lamparas.png;1;0
9717468;Adhesivo 250g Adheblanc blanco;Libreria;459.4;Libreria9717468Adhesivo 250g Adheblanc blanco.jpeg;1;0
717242;Adhesivo 30g Adheblanc blanco;Libreria;61.15;LibreriaAdhesivo 30gr Blanco Adheblanc.jpg;1;0
9717816;Aerobic Gym Frozen;Jugueteria;2826;Jugueteria9717816Aerobic Gym Frozen.png;1;0
C03045;Anillo Infantil 22'447'2;Jugueteria;77.82;ModaC03045Anillo Infantil 22'447'2.png;1;0
9717830;Anotador Espiral c/frases;Libreria;187.5;Libreria9717830Anotador Espiral cfrases.png;1;0
9717703;Antiparras Grandes;Jugueteria;586.06;Jugueteria9717703Antiparras Grandes.png;0;0
9717704;Antiparras Medianas;Jugueteria;407;Jugueteria9717704Antiparras Medianas.png;0;0
C07016;Aro de luz celular 5241 - TMARO 5106;Accesorios Celular;355.9;IluminacionC07016Aro de luz celular 5241 - TMARO 5106.png;1;0
9717760;Aros p/ carpeta N°50;Libreria;59.9;Libreria9717760Aros p carpeta N°50.jpeg;1;0
717198;Asignatura x  6  N°3;Libreria;96.5;Libreria717198Asignatura N°3.jpeg;1;0
717331;Atomizador Gatillo;Bazar;124.9;Bazar717331Atomizador Gatillo.png;1;0
C06002;Auricular Samsung 330;Audio;437.5;AudioC06002Auricular Samsung.png;0;0
C06003;Auricular Samsung Manos Libres YS;Audio;212;AudioC06003Auricular Samsung Manos Libres.png;0;0
228;Auricular Sony;Audio;290.62;#N/A;0;0
717413;Auto Cars Plástico;Jugueteria;539;Jugueteria717413Auto Cars Plástico.jpeg;1;0
9717793;Auto F1 226;Jugueteria;512.5;Jugueteria9717793Auto F1 226.jpeg;1;0
9717832;Auto lanzatazos;Jugueteria;675;Jugueteria9717832Auto lanzatazos.png;1;0
9717796;Auto Pilas Art 250 c/sonido;Jugueteria;1123;Jugueteria9717796Auto Pilas Art 250 csonido.jpeg;1;0
9717395;Auto Policia c/ Control Remoto 23333;Jugueteria;492.9;Jugueteria9717395Auto Policia c Control Remoto 23333.png;1;0
9717393;Auto Volcador Friccion;Jugueteria;292.5;Jugueteria9717393Auto Volcador Friccion.png;1;0
9717758;Autos x10;Jugueteria;703.18;Libreria9717758Autos x10.jpeg;1;0
717354;Autos x3;Jugueteria;297;Jugueteria717354Autos x3.png;1;0
C02088;Autos x5 2105;Jugueteria;345.5;JugueteriaC02088Autos x5 2105.png;1;0
36;Balanza Cocina 10kg;Pequños Electrodomesticos;1998.75;Bazar000036Balanza Cocina 10kg Dinax.png;1;0
9717566;Balines Plásticos;Jugueteria;37.29;Jugueteria9717566Balines Plásticos.png;0;0
9717717;Bastón Extensible;Bazar;1417.5;BazarBastón Extensible9717717.png;0;0
9717781;Batería Eveready 9V;Mostrador;550.8;Mostrador9717781Batería Eveready 9V.png;1;0
9717817;Bebalin Toallas Humedas;Belleza y Cuidado Personal;179.8;Belleza y Cuidado Personal9717817Bebalin Toallas Humedas.png;1;0
717320;Bibliorato A4 Colores Fino Avios;Libreria;1620.26;Libreria717320Bibliorato A4 Colores Fino Avios.png;1;0
9717707;Bibliorato Gris Oficio;Libreria;1200.16;Libreria717298Carpeta Negra A4.png.jpg;1;0
9717698;Bic Fashion (Turqiesa / Lila / Rosa);Libreria;154.56;Libreria9717698Bic Fashion (TurqiesaLila Rosa).jpg;1;0
C02032;Billetera Infantil Miñons;Jugueteria;156.5;JugueteriaC02032Billetera Infantil.png;1;0
9717764;Billeteras Marcas;Moda;1080;0;1;0
143;Binoculares Bolsa;Jugueteria;272.5;Jugueteria000143Binoculares Bolsa.jpeg;1;0
76;Blay Blade Caja;Jugueteria;670;Jugueteria000076BayBlade Caja.png;1;0
9717798;Blister Cepillo / Espejo / Ondulador / Peine;Belleza y Cuidado Personal;546.12;Belleza y Cuidado Personal9717798Blister Cepillo  Espejo  Ondulador  Peine.jpeg;1;0
C02145;Blister Dinos x 4 Forest Dinosaur;Jugueteria;809.9;JugueteriaC02145Blister dinos x 4 forest dinosaur.png;1;0
9717391;Blister Doctora Art 9400;Jugueteria;368.9;Jugueteria9717391Blister Doctora Art 761.png;1;0
9717827;Blister Herramientas Art 139;Jugueteria;536;Jugueteria9717827Blister Herramientas Art 139.jpeg;1;0
9717783;Blocky Ciudad 70pz;Jugueteria;1653;Jugueteria9717783Blocky Ciudad 70pz.png;0;0
9717784;Blocky Vehículos art 600;Jugueteria;1001.5;Jugueteria9717784Blocky Vehículos art 600.png;0;0
C02078;Bolitas / Coquitos TY01414;Jugueteria;340;JugueteriaC02078Bolitas  Coquitos TY01414.png;1;0
717518;Bolsa de Papel Madera 22x30;Mostrador;87.5;Mostrador717518Bolsa de Papel Madera 22x30.png;1;0
9717715;Bombillas x12 Plateadas;Bazar;663.75;Libreria9717715Bombillas x12 Plateadas.png;1;0
221;Bombucha x100;Mostrador;370.8;Mostrador000221Bombucha x100.png;1;0
9717534;Brocha AFEITAR WHITE;Belleza y Cuidado Personal;337.5;ModaC03055Brocha.png;1;0
9717797;Broche de Pelo c/brillos;Moda;160.5;Moda9717797Broche de Pelo cbrillos.jpeg;1;0
